run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,horizon_days,n_features,feature_set,horizon
83,random_forest,1,0.65,0.0,1,0,1,0.0,1.0,980,2021-10-20,2025-09-16,2025-09-19,2025-09-19,4,2,48,ma,2
84,xgboost,1,0.1,0.0,1,1,0,1.0,0.0,980,2021-10-19,2025-09-15,2025-09-18,2025-09-18,4,2,48,ma,2
84,random_forest,1,0.4,0.0,1,1,0,1.0,0.0,980,2021-10-19,2025-09-15,2025-09-18,2025-09-18,4,2,48,ma,2
85,xgboost,1,0.8,1.0,1,1,0,1.0,0.0,980,2021-10-18,2025-09-12,2025-09-17,2025-09-17,4,2,48,ma,2
85,random_forest,1,0.75,1.0,1,1,0,1.0,0.0,980,2021-10-18,2025-09-12,2025-09-17,2025-09-17,4,2,48,ma,2
86,xgboost,1,0.35,0.0,1,1,0,1.0,0.0,980,2021-10-15,2025-09-11,2025-09-16,2025-09-16,4,2,48,ma,2
86,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2021-10-15,2025-09-11,2025-09-16,2025-09-16,4,2,48,ma,2
87,xgboost,1,0.5,0.0,1,0,1,0.0,1.0,980,2021-10-14,2025-09-10,2025-09-15,2025-09-15,4,2,48,ma,2
87,random_forest,1,0.55,0.0,1,0,1,0.0,1.0,980,2021-10-14,2025-09-10,2025-09-15,2025-09-15,4,2,48,ma,2
88,xgboost,1,0.85,1.0,1,1,0,1.0,0.0,980,2021-10-13,2025-09-09,2025-09-12,2025-09-12,4,2,48,ma,2
88,random_forest,1,0.55,1.0,1,1,0,1.0,0.0,980,2021-10-13,2025-09-09,2025-09-12,2025-09-12,4,2,48,ma,2
89,xgboost,1,0.8,1.0,1,1,0,1.0,0.0,980,2021-10-12,2025-09-08,2025-09-11,2025-09-11,4,2,48,ma,2
89,random_forest,1,0.55,1.0,1,1,0,1.0,0.0,980,2021-10-12,2025-09-08,2025-09-11,2025-09-11,4,2,48,ma,2
90,xgboost,1,0.35,0.0,1,1,0,1.0,0.0,980,2021-10-11,2025-09-05,2025-09-10,2025-09-10,4,2,48,ma,2
90,random_forest,1,0.55,1.0,1,1,0,1.0,0.0,980,2021-10-11,2025-09-05,2025-09-10,2025-09-10,4,2,48,ma,2
91,xgboost,1,0.55,1.0,1,1,0,1.0,0.0,980,2021-10-08,2025-09-04,2025-09-09,2025-09-09,4,2,48,ma,2
91,random_forest,1,0.6,1.0,1,1,0,1.0,0.0,980,2021-10-08,2025-09-04,2025-09-09,2025-09-09,4,2,48,ma,2
92,xgboost,1,0.3,0.0,1,1,0,1.0,0.0,980,2021-10-07,2025-09-03,2025-09-08,2025-09-08,4,2,48,ma,2
92,random_forest,1,0.5,0.0,1,1,0,1.0,0.0,980,2021-10-07,2025-09-03,2025-09-08,2025-09-08,4,2,48,ma,2
93,xgboost,1,0.7,1.0,1,1,0,1.0,0.0,980,2021-10-06,2025-09-02,2025-09-05,2025-09-05,4,2,48,ma,2
93,random_forest,1,0.45,0.0,1,1,0,1.0,0.0,980,2021-10-06,2025-09-02,2025-09-05,2025-09-05,4,2,48,ma,2
94,xgboost,1,0.8,1.0,1,1,0,1.0,0.0,980,2021-10-05,2025-08-29,2025-09-04,2025-09-04,4,2,48,ma,2
94,random_forest,1,0.35,0.0,1,1,0,1.0,0.0,980,2021-10-05,2025-08-29,2025-09-04,2025-09-04,4,2,48,ma,2
