,r,pair,rank_score,weighted_precision,total_count,pos_count_ts,neg_count_ts,pos_acc_ts,neg_acc_ts,ks_ts,bal_accuracy,f1_ts,accuracy_ts,best_n_estimators,indicator_1,indicator_2
71,30,10_SMA_50 + DownVolume,0.39490174580296933,0.6335403726708074,322,200,122,0.775,0.4016393442622951,0.21817842478536767,0.5883196721311476,0.7242990654205607,0.6335403726708074,63,10_SMA_50,DownVolume
72,30,10_SMA_50 + Median Volume,0.3947724760203437,0.6358381502890174,346,182,164,0.8406593406593407,0.40853658536585363,0.3125833333333333,0.6245979630125972,0.7083333333333334,0.6358381502890174,59,10_SMA_50,Median Volume
73,30,25_SMA_100 + BB_Upper_MA25,0.3938672557339947,0.7935483870967742,155,111,44,0.8648648648648649,0.6136363636363636,0.49241466498103664,0.7392506142506143,0.8571428571428571,0.7935483870967742,24,25_SMA_100,BB_Upper_MA25
74,30,50_EMA_200 + MACD,0.3922239985759517,0.6782006920415224,289,155,134,0.8129032258064516,0.5223880597014925,0.3702286018075492,0.6676456427539721,0.7304347826086957,0.6782006920415224,15,50_EMA_200,MACD
75,30,10_ESMA_50 + QQQ_EMA_10_r5,0.39194190436934606,0.8148148148148148,108,73,35,0.863013698630137,0.7142857142857143,0.5772994129158513,0.7886497064579256,0.863013698630137,0.8148148148148148,10,10_ESMA_50,QQQ_EMA_10_r5
76,30,100_ESMA_200 + Vol_Ratio_50,0.3901727996545813,0.7239583333333334,192,124,68,0.7741935483870968,0.6323529411764706,0.3990222325689675,0.7032732447817837,0.7836734693877551,0.7239583333333334,7,100_ESMA_200,Vol_Ratio_50
77,30,QQQ_EMA_50_r5 + Vol_Ratio_25_MA50,0.3890271979544409,0.7530120481927711,166,107,59,0.8598130841121495,0.559322033898305,0.4841101694915254,0.7095675590052273,0.8177777777777778,0.7530120481927711,43,QQQ_EMA_50_r5,Vol_Ratio_25_MA50
78,30,10_EMA_50 + ATR_14_MA50,0.385256844379698,0.6585365853658537,287,165,122,0.8303030303030303,0.4262295081967213,0.3214975845410628,0.6282662692498758,0.7365591397849462,0.6585365853658537,77,10_EMA_50,ATR_14_MA50
79,30,25_ESMA_100 + Vol_Spike_40_MA50,0.38249276776474106,0.7670454545454546,176,128,48,0.859375,0.5208333333333334,0.4338171008917643,0.6901041666666667,0.8429118773946361,0.7670454545454546,47,25_ESMA_100,Vol_Spike_40_MA50
80,45,num_days_200 + 50_ESMA_100,0.499799867536589,0.8201754385964912,228,160,68,0.8875,0.6617647058823529,0.5748917748917749,0.7746323529411765,0.8738461538461538,0.8201754385964912,22,num_days_200,50_ESMA_100
81,45,Min_60_Rows_Since + ATR_21,0.4891925632006504,0.6469194312796208,422,313,109,0.7188498402555911,0.44036697247706424,0.3381838749485808,0.5796084063663276,0.7512520868113524,0.6469194312796208,12,Min_60_Rows_Since,ATR_21
82,45,num_days_200 + 25_ESMA_100,0.48326617466679633,0.7948717948717948,234,170,64,0.8529411764705882,0.640625,0.5579004329004329,0.7467830882352942,0.8579881656804734,0.7948717948717948,29,num_days_200,25_ESMA_100
83,45,vol_10 + Price_Vol_Ratio_10_MA50,0.47679381318092984,0.6756756756756757,370,258,112,0.7635658914728682,0.4732142857142857,0.2582236842105263,0.6183900885935769,0.7665369649805448,0.6756756756756757,21,vol_10,Price_Vol_Ratio_10_MA50
84,45,Rel_Max_120 + ATR_21,0.473502286817736,0.6611374407582938,422,320,102,0.71875,0.4803921568627451,0.19589699265322724,0.5995710784313726,0.7628524046434495,0.6611374407582938,12,Rel_Max_120,ATR_21
85,45,ATR_14 + ATR_14_EA50,0.4650401706837953,0.6602870813397129,418,318,100,0.7169811320754716,0.48,0.16925465838509315,0.5984905660377358,0.7625418060200667,0.6602870813397129,13,ATR_14,ATR_14_EA50
86,45,Max_60_Rows_Since + ATR_21,0.4635197501694798,0.6252983293556086,419,296,123,0.7094594594594594,0.42276422764227645,0.15686729588942183,0.566111843550868,0.7279029462738302,0.6252983293556086,13,Max_60_Rows_Since,ATR_21
87,45,ATR_21 + Regime,0.45895307688688614,0.6319612590799032,413,300,113,0.7066666666666667,0.4336283185840708,0.1782502909129377,0.5701474926253687,0.736111111111111,0.6319612590799032,9,ATR_21,Regime
88,45,ATR_7 + ATR_14_MA50,0.45627000059907297,0.6578313253012048,415,318,97,0.7295597484276729,0.422680412371134,0.21902340332458442,0.5761200803994034,0.7656765676567656,0.6578313253012048,24,ATR_7,ATR_14_MA50
89,45,ATR_7 + ATR_14_EA50,0.4535954724682482,0.6437054631828979,421,316,105,0.7246835443037974,0.4,0.18989593288733142,0.5623417721518987,0.7532894736842105,0.6437054631828979,24,ATR_7,ATR_14_EA50
