,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
2415,5,N,no_signal,Regime,0.5222799400576915,0.4911512497719394,0.6757828592754772,0.6754052484488828,-0.01644396739871076,-0.026989094277677584,0.05796002661470087,0.059129886716093615
2416,10,N,no_signal,Regime,0.5394756580475064,0.4891922936354618,0.6569237426752287,0.6569708542189691,-0.03797944642951647,-0.056298887964177195,0.08354208236664892,0.09297063993456203
2417,20,N,no_signal,Regime,0.5169953029611396,0.49332055636729344,0.6416821776256466,0.6201008586093897,-0.06261844817275514,-0.06991065860523728,0.07007376185458378,0.07956507713618854
2418,30,N,no_signal,Regime,0.512154374178796,0.4652187686344663,0.6274981507204103,0.6235962603295004,-0.038499235361121834,-0.03937732298613513,0.04038385266297231,0.16025641025641027
2419,45,N,no_signal,Regime,0.5267718193838269,0.5283460539774962,0.6045970050794994,0.5986510371967463,-0.02345609422611213,-0.03455317852752153,0.060264675941635565,0.11944291447006058
2420,60,N,keep,Regime,0.5507950728442446,0.4369517543859649,0.580394587021708,0.5546643720613867,-0.05114612307912908,-0.0448925852053815,0.12425196771794629,0.14692982456140352
2421,90,N,no_signal,Regime,0.5533423821860537,0.48496631307339444,0.5109235343531828,0.4206256555865523,-0.024331543165436925,-0.024212741939877176,0.1058443698098834,0.11811926605504587
2422,5,N,no_signal,Regime_Category,0.5205395202640937,0.4787613408303063,0.6755525153129814,0.6780975255743246,-0.10700833751095046,-0.1286179357281818,0.03601079593355802,0.03643993299165713
2423,10,N,no_signal,Regime_Category,0.5217557934278475,0.46588872065298736,0.6574603635862841,0.657197823132029,-0.1585127076446199,-0.17387232913547324,0.05410281754683753,0.08491272037452792
2424,20,N,no_signal,Regime_Category,0.520540479430724,0.49436421943490394,0.6434490439352124,0.6190130119284267,-0.27151489978411375,-0.2421940006808581,0.0511341578392768,0.02288468471887512
