,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
4268,60,N,keep,num_days_100,0.5188436756022938,0.2568092105263158,0.5795962206913876,0.5692324010197797,0.0012473825775144813,0.00238938152425618,0.06118766813569643,0.40307017543859647
4269,90,N,keep,num_days_100,0.5508937505479191,0.3840847190366972,0.5047355424921212,0.4194987902607436,0.00481526063779818,0.004986220584717146,0.13052718132268432,0.38345756880733944
4270,5,N,no_signal,num_days_200,0.4865801096573062,0.5261150088736295,0.6766519972532223,0.6753329627074431,-0.00016811371380176868,-2.0008724932892045e-05,0.03531778703105904,0.09960027201406511
4271,10,N,no_signal,num_days_200,0.48501836101013296,0.5628013017978035,0.6591716914603677,0.6518080045783345,-0.0003884249582367796,-0.00016581658590839724,0.05073474864835429,0.16655354252597504
4272,20,N,no_signal,num_days_200,0.4841074986241644,0.5574678836410558,0.6432278553822183,0.6161050429132019,-0.0003623221841479673,-0.00022969672389518066,0.07775497753868338,0.22173096263686218
4273,30,N,keep,num_days_200,0.5075212876036683,0.5852247316636852,0.6265544532329687,0.6193702166399425,-0.00030638470244346194,-0.00022226224301559924,0.07070830166689193,0.22622242098986284
4274,45,N,keep,num_days_200,0.5000327627160291,0.6500904870564167,0.6048214534384532,0.5901939415157262,-0.0007980512508909576,-0.0005096425411503333,0.07487450709663832,0.3774883940514596
4275,60,N,keep,num_days_200,0.5218395480113196,0.6930482456140351,0.5785108501651355,0.5491220877980577,-0.00031845363957264485,-0.00030255390277457027,0.1071801116994994,0.45394736842105265
4276,90,N,keep,num_days_200,0.5157846050599008,0.8133959288990824,0.5078225839195307,0.4171950489838355,-0.0011845594941104042,-0.001105977951977315,0.15069967381808178,0.7413990825688074
4277,5,N,no_signal,num_days_50,0.498205284637118,0.544932079414838,0.6767721567183442,0.6740786711163876,-0.0019392105926190242,-0.000898461721467291,0.03244505781984533,0.11006617903169627
4278,10,N,no_signal,num_days_50,0.50871197565291,0.5282288240310482,0.6574025995972381,0.6508690569541138,-0.003165684711365625,-0.0029183159369034644,0.05122382759761543,0.12097321568422702
4279,20,N,no_signal,num_days_50,0.5209980247693075,0.5425719653124348,0.6411276207913793,0.6120097739429627,-0.0038946341756766947,-0.003459397734602262,0.06308579668348954,0.18613256418527865
4280,30,N,keep,num_days_50,0.5697367050799989,0.5958743291592129,0.6212677058954386,0.6108537409548273,-0.003624874305479218,-0.004231246031326771,0.11906655824372561,0.2407573047107931
4281,45,N,keep,num_days_50,0.5151492458724829,0.6331733417263357,0.6052161342129052,0.590056695257983,-0.004094803530177683,-0.002195473715810018,0.043235084188479225,0.2911322684711622
4282,60,N,keep,num_days_50,0.5033028214355233,0.7114802631578947,0.5816960192129428,0.5465696111028241,-0.004544731971845723,-0.0016792719623213474,0.0474548186006119,0.3570175438596491
4283,90,N,keep,num_days_50,0.5098519635909636,0.2544258887614679,0.5111804127207974,0.4247784432444896,0.0009108525156907961,0.0021407317679896613,0.05591646840811736,0.5149082568807339
4284,5,N,no_signal,plus_DI,0.5073644535792626,0.4772437013816324,0.6764708957798756,0.6777336855373586,0.006161323424907576,0.007150917847231486,0.03957850843160832,0.09596788907133735
4285,10,N,no_signal,plus_DI,0.5337238430097673,0.5040985746358273,0.6566453045857632,0.6545350011796713,0.012985209506659793,0.014850694534588309,0.06550575489746809,0.049931255329887396
4286,20,N,no_signal,plus_DI,0.4811169225649842,0.49339645913584695,0.6444785033499589,0.6162476693611644,0.008183057754804867,0.002617645977408163,0.06225389606788309,0.09848384219814418
4287,30,N,no_signal,plus_DI,0.522163923965089,0.5324798747763864,0.6269879557980236,0.6207995105996045,-0.00019464939326694006,-0.0016388296634064577,0.053478803241166446,0.12373285629099583
4288,45,N,keep,plus_DI,0.5169593859330938,0.4082539932331419,0.6049659799837307,0.5981179081763198,-8.532969491751835e-05,0.002030786128826487,0.06622046967693622,0.14383507750413094
4289,60,N,keep,plus_DI,0.497332288542067,0.39368421052631575,0.5801973700634627,0.554369221657732,-0.0028427709700115326,0.0019329968358161615,0.03427597462554714,0.181140350877193
4290,90,N,no_signal,plus_DI,0.46994229089139267,0.46977135894495414,0.5115576680485648,0.4215219877457588,-0.0008552789697593999,0.0010859642438878466,0.07075033933197701,0.16599770642201836
4291,5,N,no_signal,plus_DI_EA10,0.4958646520048885,0.4792589275347896,0.6764735447163734,0.6754175139371785,-0.07395023928704283,-0.006776149295287645,0.03423977318272729,0.09729478694995937
4292,10,N,no_signal,plus_DI_EA10,0.5283963758838869,0.46974364329347873,0.657057148396883,0.6551137860679842,-0.43839818689043447,-0.5653637528535292,0.0656598764150924,0.08705337719069249
4293,20,N,no_signal,plus_DI_EA10,0.4800535829319591,0.5054744871819199,0.6437493678396004,0.616027159469937,-0.3234622931636286,-0.0899076933580652,0.04730741500748711,0.06317007912863622
4294,30,N,no_signal,plus_DI_EA10,0.4874290690177015,0.46474358974358976,0.627112240048392,0.6228544479788036,0.12266566574959308,0.20874829717151186,0.04795499413940029,0.10547107930828861
